country,type,access,model,sensor,platform,year,spec_band,min_band(nm),max_band(nm),publisher,technologies,object_class,dataset_name,n-gram
China,peer reviwed,Open Access,YOLO-modified,"RGB, MSI",ground,2023,,365,970,Frontiers,YOLOv5 modified,rice,custom,"('landslides', 4), ('images', 3), ('detection', 3), ('high', 2), ('mountainous', 2)"
China,peer reviwed,Pay Wall,"MSST, ResNet",HSI,ground,2024,,380,1000,IEEE,HSI,-,"HS-SOD, HSOD-BIT","('hyperspectral', 3), ('hsod', 3), ('data', 3), ('process', 3), ('network', 3)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",satellite,2022,,450,780,Elsevier,"RGB, LWIR",vehicles,VEDAI,"('feature', 5), ('features', 3), ('maps', 3), ('multispectral', 2), ('detection', 2)"
Poland,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",ground,2022,,450,14000,MDPI,YOLOv4 modified,humans,"KAIST multispectral pedestrian
detection dataset ","('multispectral', 5), ('detection', 4), ('fusion', 4), ('landmine', 3), ('minefields', 2)"
Czech Republic,pre-print,Open Access,YOLO-modified,"RGB, MSI",ground,2023,,450,890,Arxiv,YOLOv5 modified,vegitation,custom,"('detection', 4), ('solar', 3), ('improved', 3), ('feature', 3), ('defects', 2)"
India,conference,Pay Wall,"AlexNet, VGG, ResNet",MSI,multirotor,2023,,470,840,IEEE,MSI,rice,-,"('rice', 7), ('n', 6), ('cnn', 6), ('growth', 4), ('model', 4)"
India,conference,Pay Wall,"U-net, Res-net",MSI,multirotor,2020,,450,1000,IEEE,"MSI, segmentation",-,RIT-18,"('model', 4), ('semantic', 3), ('segmentation', 3), ('multispectral', 3), ('imagery', 3)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR, NIR","ground, aircraft",2023,,450,14000,Elsevier,YOLOv5 modified,"humans, vehicles","FLIR, VEDAI","('detection', 6), ('proposed', 6), ('object', 5), ('feature', 5), ('multispectral', 4)"
United States,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",satellite,2020,,450,780,IEEE,"RGB, LWIR","vehicles, boats",VEDAI,"('detection', 4), ('remote', 4), ('sensing', 4), ('yolors', 4), ('data', 3)"
China,peer reviwed,Open Access,YOLOv8,"RGB, MSI",multirotor,2024,,620,816,MDPI,YOLOv8,vegitation,custom,"'maize', 10), ('planting', 5), ('methods', 5), ('remote', 5), ('monitoring', 4)"
China,peer reviwed,Pay Wall,"Transformer, CNN","RGB, LWIR","ground, aircraft",2024,,450,14000,Elsevier,"RGB, LWIR","vehicles, humans","KAIST multispectral pedestrian
detection dataset, FLIR, VEDAI","('feature', 6), ('proposed', 4), ('fusion', 3), ('interaction', 3), ('performance', 3)"
Sweden,conference,Pay Wall,CNN,"RGB, MSI",multirotor,2023,,475,840,IEEE,"RGB, MSI",water,-,"('water', 3), ('approach', 2), ('pools', 2), ('drone', 2), ('imagery', 2)"
China,peer reviwed,Pay Wall,MMA,"RGB, LWIR",ground,2022,,450,14000,Elsevier,MMA,humans,"KAIST multispectral pedestrian
detection dataset, FLIR, CVC14","('feature', 6), ('modulation', 4), ('method', 4), ('proposed', 4), ('module', 4)"
China,peer reviwed,Open Access,CNN,"RGB, LWIR",ground,2022,,450,14000,Hindawi,CNN,power equipment,custom,"('equipment', 8), ('power', 7), ('segmentation', 6), ('infrared', 5), ('multispectral', 4)"
China,peer reviwed,Open Access,"SOD, VGG","RGB, NIR",ground,2020,,450,850,IEEE,"RGB, NIR, SOD",COCO,RGBN-SOD ,"('rgb', 8), ('sod', 7), ('domain', 5), ('detection', 4), ('many', 4)"
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2021,,450,14000,Elsevier,YOLOv3 modified,humans,"KAIST multispectral pedestrian
detection dataset","('ship', 7), ('detection', 4), ('method', 3), ('thermal', 3), ('tirsis', 3)"
Poland,peer reviwed,Open Access,R-CNN,"RGB, MSI",multirotor,2023,,450,890,MDPI,R-CNN,vegitation,custom,"('objects', 5), ('analysis', 4), ('model', 4), ('using', 4), ('system', 3)"
Germany,peer reviwed,Pay Wall,Faster RCNN,"RGB, HSI",ground,2021,,450,1700,IEEE,"RGB, HSI",printed circuit board,-,"('data', 3), ('waste', 2), ('recycling', 2), ('rgb', 2), ('hyperspectral', 2)"
Portugal,peer reviwed,Open Access,"YOLOv2, YOLOv3, YOLOv4","RGB, MSI",multirotor,2022,,475,840,MDPI,"YOLOv2, YOLOv3, YOLOv4",vegitation,custom,"('gaps', 4), ('network', 4), ('networks', 3), ('although', 2), ('losses', 2)"
China,peer reviwed,Open Access,GMD-YOLO,"RGB, LWIR",ground,2024,,450,14000,MDPI,YOLOv5 modified,"humans, vehicles","KAIST multispectral pedestrian
detection dataset, LLVIP ","('object', 4), ('detection', 4), ('infrared', 4), ('images', 3), ('image', 3)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2021,,8000,14000,IET,YOLOv3 modified,"vehicles, humans",FLIR,"('domain', 11), ('object', 3), ('detection', 3), ('shift', 3), ('images', 3)"
China,peer reviwed,Open Access,YOLO-modified,SAR,satellite,2021,,1,180,MDPI,YOLOv5 modified,ships,GaoFen-3,"('accuracy', 6), ('improved', 6), ('algorithm', 5), ('computational', 4), ('detection', 4)"
United States,peer reviwed,Open Access,Faster RCNN,"RGB, LWIR",ground,2024,,450,14000,MDPI,"RGB, LWIR",humans,"KAIST multispectral pedestrian
detection dataset, FLIR","('object', 5), ('detection', 4), ('multispectral', 3), ('performance', 3), ('conditions', 2)"
China,peer reviwed,Pay Wall,SVM,HSI,ground,2021,,450,950,Elsevier,HSI,metal,-,"('metal', 5), ('method', 4), ('proposed', 4), ('charging', 3), ('detection', 3)"
Spain,peer reviwed,Open Access,YOLOv5,MSI,ground,2023,,475,842,IOPscience,YOLOv5,humans,custom,"('victims', 6), ('new', 6), ('detecting', 4), ('multispectral', 4), ('based', 3)"
Germany,peer reviwed,Open Access,"CenterNet, EfficientDet, Faster R-CNN, YOLOv4","RGB, IR","satellite, multirotor",2022,,475,842,MDPI,"RGB, IR","humans, boats","Dota-2, VisDrone, SeaDroneSee","('object', 10), ('detection', 8), ('parameters', 5), ('detector', 4), ('pipeline', 3)"
China,peer reviwed,Pay Wall,SVM,HSI,ground,2021,,,,Sensors Review,HSI,Soil,-,"('hyperspectral', 7), ('paper', 5), ('applications', 3), ('object', 3), ('detection', 3)"
China,peer reviwed,Open Access,YOLO-modified,MSI,multirotor,2024,,665,960,Elsevier,YOLOX modified,humans,custom,"('seed', 7), ('vigour', 7), ('rice', 6), ('germination', 5), ('vigor', 5)"
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,Elsevier,YOLOv5 modified,"vehicles, humans","FLIR, M3FD, LLVIP","('apple', 5), ('spectral', 5), ('scab', 4), ('images', 4), ('imaging', 3)"
Taiwan,peer reviwed,Open Access,YOLOv4,RGB,ground,2021,,400,700,IEEE,YOLOv4,VOC 2012,VOC 2012,"('detection', 5), ('pedestrian', 4), ('proposed', 4), ('study', 3), ('model', 3)"
Germany,conference,Open Access,RCNN,"RGB, LWIR",ground,2020,,450,14000,,"RGB, LWIR",humans,"KAIST multispectral pedestrian
detection dataset","('multispectral', 4), ('object', 4), ('pedestrian', 3), ('detection', 3), ('network', 3)"
China,peer reviwed,Pay Wall,YOLOv5,"RGB, LWIR",ground,2023,,450,14000,Springer,"RGB, LWIR","vehicles, humans","FLIR, LLVIP","features', 5), ('feature', 4), ('fusion', 4), ('method', 4), ('image', 2)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,IEEE,"RGB, LWIR","vehicles, humans","FLIR, M3FD","('detection', 5), ('fusion', 5), ('information', 4), ('interaction', 3), ('feature', 3)"
China,peer reviwed,Pay Wall,CNN,HSI,ground,2020,,470,620,IEEE,HSI,-,"OTB50, TC128, VOT2017, TrackingNet, GOT-10K, LaSOT, UAV123, CDTB","('material', 9), ('tracking', 4), ('dataset', 4), ('color', 3), ('object', 3)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, MSI",multirotor,2024,,450,790,IEEE,YOLOv5 modified,vegitation,custom,"('object', 4), ('detection', 4), ('multispectral', 3), ('stage', 3), ('model', 3)"
China,peer reviwed,Open Access,YOLO-modified,RGB,aircraft,2020,,400,700,MDPI,YOLOv3 modified,,RSOD,"('feature', 5), ('network', 4), ('object', 3), ('detection', 3), ('methods', 3)"
China,peer reviwed,Open Access,YOLO-modified,RGB,aircraft,2021,,450,660,MDPI,YOLOv3 modified,"vehicles, aircraft","RSOD, VEDAI, UCS-AOD","('detection', 6), ('images', 4), ('sar', 4), ('module', 4), ('ship', 3)"
China,peer reviwed,Open Access,YOLOv7,"RGB, MSI",multirotor,2024,,620,816,MDPI,YOLOv7,vegitation,custom,"('tree', 6), ('training', 4), ('trees', 3), ('transmission', 3), ('corridors', 3)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, MSI",satellite,2022,,450,890,IEEE,YOLOv4 modified,ship,Gaofen-1,"('detection', 4), ('infrared', 4), ('pedestrians', 3), ('proposed', 3), ('approach', 3)"
China,conference,Pay Wall,U-Net,MSI,multirotor,2023,,450,840,IEEE,MSI,"bare, vegetation, water",-,"('model', 3), ('prediction', 2), ('multispectral', 2), ('dataset', 2), ('aim', 1)"
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2021,,450,780,Elsevier,YOLOv3 modified,humans,"KAIST, OSU Color-Thermal","('models', 4), ('fruit', 3), ('ifts', 3), ('data', 3), ('study', 3)"
China,peer reviwed,Open Access,Faster RCNN,"RGB, NIR",satellite,2022,,400,1000,MDPI,"RGB, NIR",pond,custom,"('hyperspectral', 5), ('detection', 5), ('images', 3), ('resolution', 2), ('applications', 2)"
China,peer reviwed,Pay Wall,VGG,"RGB, HSI",ground,2021,,400,1000,IEEE,"RGB, HSI",misc. objects,HIS-Object Detection NPU,"('hyperspectral', 5), ('detection', 5), ('images', 3), ('resolution', 2), ('applications', 2)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, MSI",satellite,2022,,450,890,MDPI,YOLOv4 modified,pond,Gaofen-1,"('detection', 5), ('object', 4), ('weather', 4), ('conditions', 4), ('emyolo', 4)"
China,peer reviwed,Pay Wall,YOLO modified,"RGB, MSI",ground,2024,,450,890,Elsevier,YOLOv8 modified,coal,custom,"('infrared', 6), ('images', 5), ('algorithm', 5), ('object', 3), ('detection', 3)"
China,peer reviwed,Pay Wall,YOLOv3,MSI,ground,2023,,676,952,Elsevier,YOLOv3,food,custom,"('defects', 8), ('detection', 5), ('potato', 5), ('ms', 5), ('model', 5)"
China,peer reviwed,Open Access,Point Transformer,"RGB, MWIR",aircraft,2024,,532,1550,IEEE,Point Transformer,vegitation,GEO3D,"('tree', 13), ('urban', 11), ('individual', 6), ('segmentation', 5), ('point', 4)"
China,peer reviwed,Pay Wall,"Transformer, CNN","RGB, LWIR",ground,2023,,450,14000,IEEE,"RGB, LWIR","vehicles, humans, bicycle","KAIST multispectral pedestrian
detection dataset, FLIR","('information', 7), ('modality', 4), ('single', 3), ('methods', 3), ('extract', 3)"
China,peer reviwed,Pay Wall,CNN,"HSI, MSI",satellite,2022,,450,1000,IEEE,"HSI, MSI",-,"CAVE, Pavia University Dataset, Chikusei, HypSen","('image', 3), ('fusion', 3), ('interspectra', 3), ('spatial', 3), ('sstb', 3)"
China,peer reviwed,Pay Wall,YOLOv3,SWIR,ground,2022,,920,1700,IEEE,SWIR,"vehicles, humans",custom,"('images', 8), ('detection', 5), ('system', 5), ('imaging', 4), ('swir', 4)"
China,peer reviwed,Open Access,Oriented R-CNN,"RGB, IR",multirotor,2024,,450,14000,Elsevier,"RGB, IR",humans,"KAIST multispectral pedestrian
detection dataset","('detection', 7), ('object', 5), ('two', 4), ('features', 4), ('region', 4)"
South Korea,peer reviwed,Open Access,CFN,"RGB, LWIR",ground,2022,,450,14000,MDPI,CFN,"vehicles, humans","FLIR, LLVIP","('object', 7), ('recognition', 6), ('images', 5), ('performance', 4), ('hf', 4)"
China,conference,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,IEEE,YOLOv5 modified,humans,"M3FD, TNO, LLVIP","('detection', 8), ('sar', 5), ('ship', 4), ('network', 4), ('methods', 3)"
France,conference,Pay Wall,RCNN,"RGB, LWIR",ground,2020,,450,14000,IEEE,"RGB, LWIR",humans,"KAIST multispectral pedestrian
detection dataset ","('multispectral', 4), ('fusion', 3), ('different', 2), ('feature', 2), ('method', 2)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, IR",satellite,2023,,450,780,IEEE,"RGB, IR",vehicles,VEDAI,"('detection', 5), ('objects', 4), ('computation', 4), ('small', 3), ('rsi', 3)"
China,peer reviwed,Open Access,CNN,HSI,aircraft,2020,,400,2500,MDPI,HSI,,AVIRIS,"('target', 7), ('samples', 6), ('deep', 3), ('network', 3), ('detection', 3)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2022,,8000,14000,IOPscience,YOLOX modified,"vehicles, humans","KAIST multispectral pedestrian
detection dataset, FLIR","('ocean', 7), ('eddies', 7), ('eolo', 7), ('network', 4), ('sea', 4)"
China,peer reviwed,Pay Wall,CNN,HSI,satellite,2024,,400,1800,Springer,HSI,,San Diego Dataset,"('target', 8), ('detection', 7), ('hyperspectral', 7), ('spectral', 6), ('method', 6)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,multirotor,2023,,9000,14000,MDPI,YOLOv7 modified,vehicles,HIT-UAV,"('detection', 4), ('human', 3), ('model', 3), ('proposed', 3), ('images', 3)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR","satellite, ground",2024,,450,14000,MDPI,YOLOv4 modified,"vehicles, humans","VEDAI, M3FD, LLVIP","'detection', 5), ('target', 3), ('infrared', 3), ('computationally', 2), ('intensive', 2)"
China,conference,Pay Wall,R-CNN,"RGB, LWIR",ground,2023,,450,14000,IEEE,R-CNN,humans,"KAIST multispectral pedestrian
detection dataset, LLVIP ","('detection', 5), ('feature', 4), ('results', 4), ('modalities', 4), ('dataset', 4)"
China,peer reviwed,Pay Wall,YOLO-modified,LWIR,ground,2023,,8000,14000,Elsevier,YOLOv5 modified,vehicles,FLIR,"('network', 6), ('feature', 6), ('features', 4), ('loss', 3), ('target', 3)"
China,peer reviwed,Pay Wall,Faster R-CNN,"RGB, LWIR",ground,2020,,450,14000,Springer,"RGB, LWIR",humans,"KAIST multispectral pedestrian
detection dataset, CVC-14","('pedestrian', 4), ('modality', 4), ('multispectral', 3), ('detection', 3), ('illumination', 3)"
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,Elsevier,YOLOv3 modified,rice,custom,"('methods', 4), ('detection', 3), ('proposed', 3), ('deep', 3), ('learning', 3)"
China,peer reviwed,Pay Wall,DETR,"RGB, IR",satellite,2023,,450,780,IEEE,"RGB, IR",vehicles,VEDAI,"('multispectral', 5), ('spectrum', 3), ('features', 3), ('attention', 3), ('dropspectrum', 3)"
China,peer reviwed,Pay Wall,CNN,HSI,aircraft,2020,,370,2510,IEEE,HSI,-,AVIRIS,"('target', 12), ('samples', 7), ('background', 6), ('tscntd', 5), ('priori', 5)"
China,peer reviwed,Pay Wall,YOLO-modified,LWIR,multirotor,2023,,8000,12000,Elsevier,YOLOv7 modified,vehicles,IRTS-AG,"('defect', 7), ('detection', 4), ('data', 4), ('accuracy', 3), ('multiscale', 3)"
China,peer reviwed,Open Access,YOLO-modified,SAR,satellite,2021,,1,180,MDPI,YOLOv5 modified,ships,"HRSID, SSDD, Sentinel-1","('detection', 7), ('yolo', 5), ('image', 5), ('target', 5), ('network', 4)"
China,peer reviwed,Pay Wall,YOLO-modified,SAR,satellite,2024,,1,180,Elsevier,YOLOv5 modified,ocean eddies,Sentinel-1,"('pv', 7), ('panels', 5), ('model', 5), ('defects', 3), ('detection', 3)"
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, LWIR","ground, multirotor",2024,,450,14000,IEEE,YOLOv5 modified,humans,"KAIST multispectral pedestrian
detection dataset","('detection', 8), ('improved', 4), ('target', 3), ('targets', 3), ('article', 3)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2023,,8000,14000,MDPI,YOLOv5 modified,"humans, vehicles, bicycles, dogs",FLIR,"('detection', 4), ('improved', 3), ('algorithm', 3), ('improve', 2), ('proposed', 2)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2023,,8000,14000,MDPI,YOLOv5 modified,aircraft,custom,"('network', 7), ('detection', 6), ('object', 4), ('structure', 4), ('task', 3)"
China,peer reviwed,Pay Wall,YOLO-modified,LWIR,ground,2023,,8000,14000,Elsevier,YOLOv5 modified,aircraft,SIRST,"('detection', 6), ('remote', 4), ('sensing', 4), ('infrared', 3), ('ship', 3)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,multirotor,2023,,8000,14000,MDPI,YOLOv7 modified,vehicles,custom,"('drone', 4), ('images', 3), ('detection', 2), ('infrared', 2), ('dataset', 2)"
China,conference,Open Access,YOLO-modified,LWIR,ground,2023,,8000,14000,IOPscience,YOLOv4 modified,,custom,"('sar', 8), ('detection', 6), ('method', 6), ('ship', 5), ('images', 5)"
China,conference,Open Access,YOLO-modified,LWIR,ground,2021,,8000,14000,IOPscience,YOLOv3 modified,vehicles,custom,"('detection', 10), ('infrared', 6), ('object', 4), ('fusion', 4), ('accuracy', 3)"
China,conference,Open Access,YOLO-modified,LWIR,ground,2020,,8000,14000,Springer,YOLOv2 modified,power equipment,custom,"('multimodal', 4), ('illumination', 4), ('images', 3), ('performance', 3), ('pedestrian', 3)"
China,peer reviwed,Open Access,YOLOv4,LWIR,multirotor,2023,,8000,14000,Nature,YOLOv4,"humans, vehicles, bicycles",custom,"('dataset', 5), ('infrared', 4), ('thermal', 4), ('object', 4), ('detection', 3)"
South Korea,peer reviwed,Open Access,"YOLOv5, YOLOv8","RGB, LWIR",multirotor,2023,,450,14000,Nature,"YOLOv5, YOLOv8",power equipment,custom,"('abnormal', 5), ('detection', 5), ('ir', 3), ('imaging', 3), ('deep', 3)"
United States,peer reviwed,Open Access,"YOLOv5, YOLOv7","RGB, LWIR",multirotor,2023,,450,14000,Nature,"YOLOv5, YOLOv7",animals,custom,"('images', 7), ('visible', 5), ('image', 5), ('fusion', 5), ('thermal', 4)"
China,peer reviwed,Open Access,YOLO-modified,RGB,ground,2024,,450,650,Nature,YOLOv5 modified,power equipment,custom,"('detection', 8), ('multimodal', 6), ('tomato', 4), ('fusion', 4), ('agricultural', 3)"
China,conference,Pay Wall,YOLOv3,LWIR,ground,2021,,8000,14000,IEEE,YOLOv3,humans,custom,"('detection', 4), ('night', 3), ('pedestrians', 3), ('thermal', 2), ('imaging', 2)"
China,conference,Pay Wall,YOLO-modified,LWIR,ground,2022,,8000,14000,IEEE,YOLOv5 modified,humans,custom,"('water', 6), ('larvae', 4), ('detection', 4), ('supply', 3), ('system', 3)"
France,conference,Pay Wall,YOLO-modified,LWIR,ground,2024,,950,1200,IEEE,YOLOv7 modified,,NUAA-SIRST,"('targets', 5), ('method', 5), ('detection', 4), ('infrared', 4), ('target', 4)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,multirotor,2024,,8000,14000,Springer,YOLOv5 modified,power equipment,custom,"('detection', 4), ('network', 3), ('target', 3), ('layer', 3), ('feature', 3)"
Bangladesh,conference,Pay Wall,YOLO-modified,LWIR,ground,2021,,8000,14000,IEEE,YOLOv3 modified,power equipment,custom,"('detection', 10), ('infrared', 5), ('vehicle', 3), ('object', 2), ('algorithms', 2)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2024,,8000,14000,MDPI,YOLOv5 modified,ships,InfiRay,"('small', 4), ('targets', 4), ('detection', 4), ('yolo', 3), ('detecting', 2)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2022,,8000,14000,MDPI,YOLOv5 modified,,custom,"('hyperspectral', 7), ('object', 7), ('tracking', 6), ('bands', 2), ('yolo', 2)"
China,peer reviwed,Pay Wall,YOLO-modified,LWIR,ground,2022,,8000,14000,Springer,YOLOv3 modified,humans,FLIR,"('fusion', 7), ('different', 5), ('features', 5), ('state', 5), ('space', 5)"
United States,peer reviwed,Open Access,YOLOv4,LWIR,ground,2021,,8000,14000,SSRN,YOLOv4,vehicles,custom,"('videos', 6), ('using', 4), ('infrared', 3), ('yolo', 3), ('training', 3)"
China,peer reviwed,Pay Wall,YOLO-modified,SAR,satellite,2022,,400,780,IEEE,YOLOX modified,"ships, aircraft",NWPU VHR-10,"('pathological', 5), ('phenomena', 5), ('thermal', 4), ('broiler', 3), ('conditions', 3)"
China,conference,Pay Wall,YOLO-modified,LWIR,ground,2022,,8000,14000,IEEE,YOLOv3 modified,humans,custom,"('data', 4), ('multispectral', 4), ('counting', 3), ('band', 3), ('plant', 2)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2023,,8000,14000,MDPI,YOLOX modified,humans,IPHPDT,"('coal', 7), ('detection', 6), ('gangue', 6), ('accuracy', 5), ('speed', 3)"
United States,conference,Pay Wall,CNN,NIR,ground,2020,,800,2500,IEEE,CNN,vehicles,custom,"('network', 6), ('detection', 3), ('targets', 3), ('metric', 3), ('false', 2)"
China,conference,Pay Wall,YOLO-modified,LWIR,ground,2023,,8000,14000,Springer,YOLOv5 modified,"vehicles, humans",FLIR,"('stress', 7), ('lettuce', 5), ('images', 4), ('detection', 4), ('infrared', 3)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2023,,8000,14000,JNI,YOLOv5 modified,ships,custom,"('pedestrian', 4), ('detection', 4), ('alignment', 3), ('multispectral', 2), ('image', 2)"
Germany,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2023,,8000,14000,Helmut Schmidt University,YOLOv5 modified,drones,custom,"('camouflaged', 5), ('people', 4), ('detection', 3), ('detecting', 3), ('scenes', 3)"
Chile,conference,Open Access,YOLO-modified,NIR,ground,2023,,700,1000,Springer,YOLOv8 modified,vegitation,custom,"('infrared', 4), ('object', 4), ('paper', 4), ('detection', 3), ('model', 3)"
China,peer reviwed,Open Access,YOLO-modified,SAR,satellite,2021,,1,180,MDPI,YOLOv5 modified,ships,SSDD,"('detection', 6), ('object', 4), ('sar', 4), ('image', 4), ('radar', 3)"
Australia,pre-print,Open Access,YOLO-modified,HSI,ground,2023,,470,620,Arxiv,YOLOv7 modified,"vehicles, humans",custom,"('human', 13), ('images', 9), ('pose', 6), ('estimation', 6), ('thermal', 6)"
